# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:12874,num_snp_partitions:3,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
663 678 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
678 689 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
689 698 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
698 726 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
726 728 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
728 744 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
744 745 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
745 756 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
756 769 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
769 796 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
796 802 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
802 865 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
865 889 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
889 919 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
919 931 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
931 965 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
965 967 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
967 976 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
976 982 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
982 991 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
991 1022 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1022 1116 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1116 1127 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1127 1135 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1135 1182 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1182 1259 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1259 1263 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1263 1269 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1269 1310 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1310 1313 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1313 1336 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1336 1344 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1344 1381 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1381 1388 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1388 1396 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1396 1401 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1401 1404 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1404 1442 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1442 1453 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1453 1491 2.5951e-03 2.1740e-03 2.5830e-03 3.0667e-03
1491 1493 2.5696e-03 2.1214e-03 2.5790e-03 3.0667e-03
1493 1495 2.5696e-03 2.1214e-03 2.5790e-03 3.0667e-03
1495 1521 2.5592e-03 2.0668e-03 2.5773e-03 3.0646e-03
1521 1541 2.4572e-03 4.6613e-04 2.5582e-03 3.0587e-03
1541 1625 2.1647e-03 4.6423e-04 2.4707e-03 3.0453e-03
1625 1687 9.9809e-04 4.2539e-04 4.7553e-04 2.7474e-03
1687 1703 7.8121e-04 4.2155e-04 4.7235e-04 2.6486e-03
1703 1936 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1936 1961 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1961 1965 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1965 1973 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1973 1976 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1976 1980 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1980 1987 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
1987 2010 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2010 2064 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2064 2071 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2071 2073 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2073 2217 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2217 2220 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2220 2276 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2276 2420 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2420 2503 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2503 2504 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2504 2559 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2559 2578 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2578 2593 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2593 2594 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2594 2596 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2596 2598 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2598 2599 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2599 2600 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2600 2604 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2604 2646 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2646 2658 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2658 2660 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2660 2715 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2715 2957 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2957 2990 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
2990 3000 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3000 3033 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3033 3040 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3040 3041 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3041 3044 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3044 3096 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3096 3099 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3099 3137 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3137 3157 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3157 3195 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3195 3198 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3198 3261 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3261 3276 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3276 3284 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3284 3312 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3312 3319 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3319 3412 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3412 3464 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3464 3469 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3469 3477 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3477 3492 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3492 3500 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3500 3514 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3514 3516 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3516 3523 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3523 3525 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3525 3624 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3624 3625 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3625 3668 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3668 3772 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3772 3790 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3790 3834 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3834 3850 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3850 3854 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3854 3889 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3889 3897 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3897 3903 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3903 3934 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3934 3943 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3943 3949 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3949 3987 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
3987 4007 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4007 4008 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4008 4010 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4010 4013 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4013 4014 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4014 4016 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4016 4017 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4017 4018 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4018 4019 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4019 4020 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4020 4099 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4099 4107 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4107 4108 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4108 4109 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4109 4115 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4115 4135 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4135 4175 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4175 4270 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4270 4395 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4395 4529 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4529 4567 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4567 4568 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4568 4569 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4569 4581 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4581 4585 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4585 4611 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4611 4612 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4612 4613 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4613 4650 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4650 4682 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4682 4686 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4686 4692 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4692 4708 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4708 4709 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4709 4713 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4713 4715 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4715 4737 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4737 4742 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4742 4743 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4743 4755 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4755 4788 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4788 4806 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4806 4837 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4837 4951 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4951 4957 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4957 4984 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4984 4994 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4994 4995 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
4995 5000 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5000 5012 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5012 5026 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5026 5077 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5077 5078 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5078 5079 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5079 5135 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5135 5137 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5137 5144 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5144 5145 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5145 5227 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5227 5354 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5354 5369 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5369 5379 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5379 5418 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5418 5419 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5419 5437 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5437 5443 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5443 5446 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5446 5501 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5501 5517 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5517 5535 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5535 5546 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5546 5578 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5578 5581 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5581 5671 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5671 5693 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5693 5700 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5700 5718 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5718 5766 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5766 5781 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5781 5787 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5787 5847 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5847 5849 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5849 5854 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5854 5877 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
5877 6015 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6015 6060 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6060 6297 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6297 6306 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6306 6321 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6321 6326 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6326 6330 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6330 6413 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6413 6546 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6546 6558 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6558 6562 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6562 6577 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6577 6599 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6599 6603 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6603 6615 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6615 6625 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6625 6626 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6626 6633 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6633 6634 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6634 6635 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6635 6638 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6638 6641 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6641 6678 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6678 6687 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6687 6695 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6695 6699 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6699 6811 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6811 6825 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6825 6898 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6898 6904 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
6904 7134 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7134 7140 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7140 7150 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7150 7157 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7157 7159 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7159 7175 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7175 7198 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7198 7242 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7242 7285 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7285 7289 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7289 7344 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7344 7355 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7355 7525 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7525 7738 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7738 7880 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7880 7917 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7917 7918 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7918 7932 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7932 7940 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7940 7944 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7944 7952 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
7952 8019 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8019 8029 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8029 8033 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8033 8111 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8111 8114 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8114 8124 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8124 8142 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8142 8143 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8143 8145 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8145 8146 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8146 8147 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8147 8148 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8148 8152 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8152 8191 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8191 8200 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8200 8267 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8267 8271 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8271 8272 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8272 8273 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8273 8279 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8279 8285 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8285 8297 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8297 8300 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8300 8306 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8306 8355 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8355 8397 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8397 8405 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8405 8476 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8476 8502 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8502 8508 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8508 8520 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8520 8521 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8521 8523 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8523 8581 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8581 8635 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8635 8638 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8638 8705 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8705 8739 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8739 8742 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8742 8773 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8773 8774 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8774 8775 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8775 8786 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8786 8810 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8810 8816 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8816 8842 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8842 8868 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8868 8885 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8885 8887 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8887 8889 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8889 8914 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8914 8925 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8925 8952 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8952 8954 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8954 8974 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8974 8988 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8988 8991 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
8991 9008 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
9008 9010 4.7284e-04 4.1992e-04 4.6902e-04 5.2037e-04
